Publish Date,Ticker,Fiscal Period,Fiscal Year,Report Date,Revenue,"Property, Plant & Equipment, Net",Adjusted Close
2010-02-05,DLR,FY,2009,2009-12-31,637142000,3148034000,31.8296
2011-02-25,DLR,FY,2010,2010-12-31,865401000,4560468000,37.5782
2012-02-28,DLR,FY,2011,2011-12-31,1062710000,5212325000,48.4772
2013-02-28,DLR,FY,2012,2012-12-31,1279067000,7522844000,46.6641
2014-03-03,DLR,FY,2013,2013-12-31,1482259000,8298964000,39.7197
2015-03-02,DLR,FY,2014,2014-12-31,1616438000,8096362000,52.0151
2016-02-29,DLR,FY,2015,2015-12-31,1763336000,8651466000,64.8144
2017-03-01,DLR,FY,2016,2016-12-31,2142213000,8878625000,91.3527
2018-03-01,DLR,FY,2017,2017-12-31,2457928000,13666559000,93.5452
2019-02-25,DLR,FY,2018,2018-12-31,3046478000,14894043000,103.0966
2020-03-02,DLR,FY,2019,2019-12-31,3209241000,14230575000,132.4181
2021-03-01,DLR,FY,2020,2020-12-31,3903609000,22263017000,138.7966
